id,date_ms,sym,side,pnl,akk
1,1787590194858,1000BTTUSDT,Buy,-0.4065,3
2,1787591285149,ACEUSDT,Buy,-0.43104,3
3,1787591816183,BNCUSDT,Buy,-0.4,2
4,1787591894630,CASHCATUSDT,Sell,-0.418,3
5,1787592074275,CASHCATUSDT,Buy,-0.3982,2
6,1787592201924,CASHCATUSDT,Buy,-1.1726,0
7,1787592272515,ACEUSDT,Buy,-1.41884,1
8,1787592685388,1000BTTUSDT,Buy,-0.4071,3
9,1787592774043,CASHCATUSDT,Buy,-0.3938,2
10,1787593153467,CASHCATUSDT,Buy,-0.4092,2
11,1787594243801,BNCUSDT,Buy,-0.4032,2
12,1787594614563,CASHCATUSDT,Sell,-0.99,3
13,1787594864260,MINIMAXUSDT,Sell,-0.3876,2
14,1787594963050,CASHCATUSDT,Sell,-1.474,1
15,1787595194931,CASHCATUSDT,Sell,-0.4862,3
16,1787597535516,AGIUSDT,Buy,-0.40572,3
17,1787598420335,LSKUSDT,Buy,-0.434704,2
18,1787598831625,CASHCATUSDT,Buy,4.0282,0
19,1787599125108,MOVEUSDT,Buy,-0.399006,3
20,1787602653881,B3USDT,Sell,-0.47613,2
21,1787602852181,B3USDT,Sell,-1.25085,0
22,1787602905163,MOVEUSDT,Buy,-0.4975,3
23,1787602975110,ACXUSDT,Buy,-1.01336,3
24,1787603472024,BNCUSDT,Buy,-1.1875,0
25,1787604213446,B3USDT,Sell,-0.43624,2
26,1787605205100,FORMUSDT,Sell,-0.46926,3
27,1787605293506,1000000MOGUSDT,Sell,-0.45195,2
28,1787605684350,FORMUSDT,Buy,-0.61778,2
29,1787606013903,AGIUSDT,Sell,-0.39606,2
30,1787606034639,B3USDT,Buy,-0.57646,3
31,1787607091406,AGIUSDT,Sell,-1.23648,0
32,1787607105164,ACXUSDT,Sell,-0.49011,3
33,1787608775118,CASHCATUSDT,Sell,-0.4674,3
34,1787608814706,COTIUSDT,Buy,-0.400287,3
35,1787608844796,B3USDT,Buy,-0.48732,3
36,1787609053732,CASHCATUSDT,Buy,-0.5548,2
37,1787609244293,CASHCATUSDT,Buy,-0.3942,2
38,1787609715112,COTIUSDT,Buy,-0.43218,3
39,1787610274604,MOVEUSDT,Buy,-0.434391,3
40,1787610512418,CASHCATUSDT,Sell,-1.5409,1
41,1787610518285,CASHCATUSDT,Sell,-0.7542,3
42,1787611076564,CASHCATUSDT,Sell,-0.504,3
43,1787611393971,CASHCATUSDT,Buy,-0.4302,2
44,1787611654716,CASHCATUSDT,Sell,-0.4518,3
45,1787612124976,COTIUSDT,Buy,-0.38812,3
46,1787612303779,CASHCATUSDT,Buy,-0.4482,2
47,1787612335255,BNCUSDT,Sell,-0.4032,3
48,1787612814019,COTIUSDT,Buy,-1.281105,1
49,1787612884732,CASHCATUSDT,Sell,-0.4392,3
50,1787612924320,CASHCATUSDT,Buy,-0.3852,2
51,1787612944109,AGIUSDT,Sell,-0.46011,2
52,1787613563777,CASHCATUSDT,Buy,-0.6042,2
53,1787613824412,CASHCATUSDT,Sell,-0.608,3
54,1787614073450,CASHCATUSDT,Buy,-0.3933,2
55,1787614113985,AGIUSDT,Sell,-0.47073,2
56,1787614131392,AGIUSDT,Sell,-1.2207,0
57,1787614313800,BNCUSDT,Buy,-0.4318,2
58,1787614522762,MOVEUSDT,Buy,-1.211796,1
59,1787614863384,CASHCATUSDT,Buy,-0.475,2
60,1787614873863,AGIUSDT,Sell,-0.43296,2
61,1787615032172,AGIUSDT,Sell,-1.38908,0
62,1787615534149,CASHCATUSDT,Buy,-0.4104,2
63,1787615553643,AGIUSDT,Sell,-0.47196,2
64,1787615601848,CASHCATUSDT,Buy,-1.3946,0
65,1787615883614,CASHCATUSDT,Buy,-0.3819,2
66,1787615913552,AGIUSDT,Sell,-0.4325,2
67,1787615936017,CASHCATUSDT,Sell,0.9405,1
68,1787615936299,BNCUSDT,Buy,0.0516,1
69,1787615936579,APPSTOCKUSDT,Sell,-0.0039,1
70,1787615936861,AGIUSDT,Buy,0.90022,1
71,1787615937140,BXUSDT,Sell,0.0729,1
72,1787615937424,FORMUSDT,Sell,-0.1422,1
73,1787615937706,B3USDT,Buy,-0.42066,1
74,1787615937985,BANANAUSDT,Buy,-0.0102,1
75,1787615938267,ACXUSDT,Buy,-0.32504,1
76,1787615938545,LSKUSDT,Sell,0.370144,1
77,1787615938822,MAUSDT,Buy,0.0906,1
78,1787615939101,IONQUSDT,Sell,0.1152,1
79,1787615939382,CXMTUSDT,Buy,-0.0864,1
80,1787615939663,MINIMAXUSDT,Buy,0.459,1
81,1787615939941,1000BTTUSDT,Buy,0.20325,1
82,1787616021563,AGIUSDT,Sell,-1.16242,0
83,1787616291657,CASHCATUSDT,Buy,-1.159,0
84,1787616434786,AGIUSDT,Sell,-0.66258,2
85,1787616462018,AGIUSDT,Sell,-1.7178,0
86,1787616484612,CASHCATUSDT,Sell,-0.454,3
87,1787616535402,FORMUSDT,Sell,-0.50402,3
88,1787616605322,AGIUSDT,Buy,-0.70348,3
89,1787616744282,CASHCATUSDT,Buy,-0.43,2
90,1787616749109,CXMTUSDT,Buy,-0.3984,3
91,1787617021352,CASHCATUSDT,Buy,-0.3781,2
92,1787617026206,HYUNDAIUSDT,Buy,-0.4732,3
93,1787617053967,IONQUSDT,Buy,-0.4032,2
94,1787617175102,CASHCATUSDT,Sell,-0.4902,3
95,1787617195559,AGIUSDT,Buy,-0.50282,3
96,1787617215728,CASHCATUSDT,Sell,-2.528,4
97,1787617233184,CASHCATUSDT,Sell,-2.156,1
98,1787617275321,BNCUSDT,Buy,-0.3999,3
99,1787617620952,AGIUSDT,Sell,-0.47849,2
100,1787617725253,CASHCATUSDT,Sell,-0.3933,3
101,1787617751809,AGIUSDT,Sell,-1.15162,0
102,1787617863901,CASHCATUSDT,Buy,-0.4921,2
103,1787618233580,B3USDT,Sell,-0.37248,2
104,1787618238622,CASHCATUSDT,Sell,-0.6066,3
105,1787618253753,AGIUSDT,Sell,-0.3696,2
106,1787618516209,B3USDT,Buy,-0.51992,3
107,1787618561752,1000000MOGUSDT,Sell,-1.1454,0
108,1787618685719,CASHCATUSDT,Sell,-2.413,4
109,1787618702739,CASHCATUSDT,Sell,-1.2388,1
110,1787618721563,CASHCATUSDT,Buy,4.148,0
111,1787618822496,AGIUSDT,Buy,-2.0559,1
112,1787618827499,BANANAUSDT,Sell,-0.4794,2
113,1787618833566,AGIUSDT,Buy,-4.1607,4
114,1787619095402,B3USDT,Buy,-0.43065,3
115,1787619113833,AGIUSDT,Sell,-0.42172,2
116,1787619416565,AGIUSDT,Sell,-0.53724,2
117,1787619421548,MARAUSDT,Sell,-0.4984,3
118,1787619655368,AGIUSDT,Buy,-0.45416,3
119,1787619736874,AGIUSDT,Buy,-2.31318,4
120,1787619752947,AGIUSDT,Buy,-1.21286,1
121,1787619835254,NESAUSDT,Buy,-0.3978,2
122,1787620041871,NESAUSDT,Buy,-1.2852,0
123,1787620082306,B3USDT,Buy,-1.2028,1
124,1787620089727,B3USDT,Buy,-2.46927,4
125,1787620115546,B3USDT,Buy,-0.3965,3
126,1787620314241,NESAUSDT,Buy,-0.3768,2
127,1787620319076,AGIUSDT,Buy,-0.41062,3
128,1787620441821,AGIUSDT,Sell,3.9039,0
129,1787620465260,NESAUSDT,Sell,-0.5338,3
130,1787620844564,AGIUSDT,Sell,-0.51118,2
131,1787621031970,AGIUSDT,Sell,-1.16176,0
132,1787621094988,FWDIUSDT,Sell,-0.3933,3
133,1787621414176,MINIMAXUSDT,Buy,-0.8118,2
134,1787621722635,AGIUSDT,Buy,-1.20176,1
135,1787622546408,NESAUSDT,Sell,-2.3273,4
136,1787622593263,NESAUSDT,Sell,-1.1932,1
137,1787623012831,CXMTUSDT,Sell,-0.3984,2
138,1787623673702,BNCUSDT,Sell,-0.3741,2
139,1787624294059,JSTUSDT,Sell,-0.3939,2
140,1787624323418,GRVTUSDT,Sell,-0.37818,2
141,1787624571743,MINIMAXUSDT,Sell,-1.1934,0
142,1787624683614,AGIUSDT,Sell,-0.60088,2
143,1787624831953,AGIUSDT,Sell,-1.15304,0
144,1787624836868,MARAUSDT,Sell,-1.2104,1
145,1787624842178,AGIUSDT,Sell,-0.57962,2
146,1787624848096,MARAUSDT,Sell,-2.4242,4
147,1787625124143,AMATUSDT,Sell,-0.3816,2
148,1787625324621,LSKUSDT,Sell,-0.404576,3
149,1787625474235,AGIUSDT,Sell,-0.80556,2
150,1787625582147,AGIUSDT,Sell,-1.14258,0
151,1787626483984,AGIUSDT,Sell,-0.37352,2
152,1787626684277,AGIUSDT,Sell,-0.3663,2
