id,date_ms,sym,fund,next
1,1787589932145,1000BTTUSDT,-0.2876,1787616000000
2,1787589935927,ACEUSDT,-0.2027,1787601600000
3,1787589937923,AGIUSDT,-0.147,1787616000000
4,1787589951659,BICOUSDT,-0.2204,1787616000000
5,1787589954178,BNCUSDT,0.3355,1787616000000
6,1787589980290,GRVTUSDT,-0.1539,1787601600000
7,1787589980806,GWEIUSDT,-0.1077,1787601600000
8,1787589983011,HOMEUSDT,-0.1342,1787601600000
9,1787589999282,MINIMAXUSDT,-0.2415,1787616000000
10,1787590531877,1000BTTUSDT,-0.2878,1787616000000
11,1787590534987,ACEUSDT,-0.2054,1787601600000
12,1787590537735,AGIUSDT,-0.1037,1787616000000
13,1787590552085,BICOUSDT,-0.3148,1787616000000
14,1787590554633,BNCUSDT,0.277,1787616000000
15,1787590571684,EPICUSDT,-0.1251,1787601600000
16,1787590580728,GRVTUSDT,-0.13,1787601600000
17,1787590583432,HOMEUSDT,-0.1544,1787601600000
18,1787590591851,KODEX200USDT,-0.1586,1787616000000
19,1787590599748,MINIMAXUSDT,-0.1943,1787616000000
20,1787591132488,1000BTTUSDT,-0.3143,1787616000000
21,1787591135585,ACEUSDT,-0.2028,1787601600000
22,1787591152486,BICOUSDT,-0.3384,1787616000000
23,1787591155024,BNCUSDT,0.2324,1787616000000
24,1787591172181,EPICUSDT,-0.1722,1787601600000
25,1787591181245,GRVTUSDT,-0.1361,1787601600000
26,1787591183953,HOMEUSDT,-0.2118,1787601600000
27,1787591192397,KODEX200USDT,-0.2245,1787616000000
28,1787591200316,MINIMAXUSDT,-0.1454,1787616000000
29,1787591731848,1000BTTUSDT,-0.3061,1787616000000
30,1787591734924,ACEUSDT,-0.2095,1787601600000
31,1787591751888,BICOUSDT,-0.3109,1787616000000
32,1787591754468,BNCUSDT,0.1996,1787616000000
33,1787591758457,CASHCATUSDT,0.1168,1787601600000
34,1787591771922,EPICUSDT,-0.2018,1787601600000
35,1787591781085,GRVTUSDT,-0.1542,1787601600000
36,1787591783815,HOMEUSDT,-0.2287,1787601600000
37,1787591792313,KODEX200USDT,-0.1991,1787616000000
38,1787592332563,1000BTTUSDT,-0.3014,1787616000000
39,1787592335630,ACEUSDT,-0.2224,1787601600000
40,1787592352467,BICOUSDT,-0.2811,1787616000000
41,1787592354966,BNCUSDT,0.1626,1787616000000
42,1787592358808,CASHCATUSDT,0.1273,1787601600000
43,1787592372277,EPICUSDT,-0.2175,1787601600000
44,1787592381262,GRVTUSDT,-0.1443,1787601600000
45,1787592383961,HOMEUSDT,-0.2607,1787601600000
46,1787592392386,KODEX200USDT,-0.2166,1787616000000
47,1787592932457,1000BTTUSDT,-0.3077,1787616000000
48,1787592935518,ACEUSDT,-0.252,1787601600000
49,1787592952152,BICOUSDT,-0.2885,1787616000000
50,1787592954666,BNCUSDT,0.1414,1787616000000
51,1787592958492,CASHCATUSDT,0.111,1787601600000
52,1787592971663,EPICUSDT,-0.2272,1787601600000
53,1787592980663,GRVTUSDT,-0.138,1787601600000
54,1787592983486,HOMEUSDT,-0.2919,1787601600000
55,1787592991840,KODEX200USDT,-0.1811,1787616000000
56,1787593532392,1000BTTUSDT,-0.3108,1787616000000
57,1787593535508,ACEUSDT,-0.2411,1787601600000
58,1787593552565,BICOUSDT,-0.2939,1787616000000
59,1787593555073,BNCUSDT,0.161,1787616000000
60,1787593558953,CASHCATUSDT,0.1001,1787601600000
61,1787593572064,EPICUSDT,-0.2218,1787601600000
62,1787593581041,GRVTUSDT,-0.1294,1787601600000
63,1787593583704,HOMEUSDT,-0.3151,1787601600000
64,1787593591991,KODEX200USDT,-0.1398,1787616000000
65,1787594131980,1000BTTUSDT,-0.27,1787616000000
66,1787594135163,ACEUSDT,-0.2245,1787601600000
67,1787594136003,ACXUSDT,-0.1247,1787601600000
68,1787594152125,BICOUSDT,-0.295,1787616000000
69,1787594154629,BNCUSDT,0.1718,1787616000000
