id,date_ms,sym,side,size,akk
1,1787590007872,1000BTTUSDT,Sell,39.9725,0
2,1787590008059,1000BTTUSDT,Buy,39.9725,1
3,1787590008261,1000BTTUSDT,Sell,39.9725,2
4,1787590008453,1000BTTUSDT,Buy,39.9725,3
5,1787590009328,ACEUSDT,Sell,39.98794,0
6,1787590009536,ACEUSDT,Buy,39.98794,1
7,1787590009731,ACEUSDT,Sell,39.98794,2
8,1787590009955,ACEUSDT,Buy,39.98794,3
9,1787590010803,BNCUSDT,Buy,39.95,0
10,1787590011001,BNCUSDT,Sell,39.95,1
11,1787590011189,BNCUSDT,Buy,39.95,2
12,1787590011375,BNCUSDT,Sell,39.95,3
13,1787590012245,MINIMAXUSDT,Sell,39.9738,0
14,1787590012429,MINIMAXUSDT,Buy,39.9738,1
15,1787590012630,MINIMAXUSDT,Sell,39.9738,2
16,1787590012823,MINIMAXUSDT,Buy,39.9738,3
17,1787590609411,1000BTTUSDT,Buy,39.99079,3
18,1787591810352,CASHCATUSDT,Buy,39.2568,0
19,1787591810549,CASHCATUSDT,Sell,39.2568,1
20,1787591810749,CASHCATUSDT,Buy,39.2568,2
21,1787591810944,CASHCATUSDT,Sell,39.2568,3
22,1787592410118,BNCUSDT,Sell,39.816,1
23,1787592410319,BNCUSDT,Buy,39.816,2
24,1787592410513,BNCUSDT,Sell,39.816,3
25,1787592411404,CASHCATUSDT,Buy,38.5616,0
26,1787592411612,CASHCATUSDT,Sell,38.5616,1
27,1787592411811,CASHCATUSDT,Buy,38.5616,2
28,1787592412009,CASHCATUSDT,Sell,38.5616,3
29,1787593008385,1000BTTUSDT,Buy,39.984,3
30,1787593009957,CASHCATUSDT,Buy,38.3834,2
31,1787593609864,CASHCATUSDT,Buy,39.9993,2
32,1787594210396,ACXUSDT,Sell,39.97036,0
33,1787594210594,ACXUSDT,Buy,39.97036,1
34,1787594210797,ACXUSDT,Sell,39.97036,2
35,1787594211002,ACXUSDT,Buy,39.97036,3
36,1787594811532,BNCUSDT,Buy,39.7002,2
37,1787594812580,CASHCATUSDT,Sell,39.7078,3
38,1787595409847,AGIUSDT,Sell,39.9924,0
39,1787595410052,AGIUSDT,Buy,39.9924,1
40,1787595410268,AGIUSDT,Sell,39.9924,2
41,1787595410475,AGIUSDT,Buy,39.9924,3
42,1787595411364,B3USDT,Sell,39.98685,0
